green,red,IR,acc_x,acc_y,acc_z,sample_index
84917,193641,207163,8.063812162,-4.4458643908,2.9611179675,327
84735,193490,207102,8.1678999451,-4.3716868902,3.0125636533999995,328
84677,193487,207082,8.111668614,-4.5296131818,2.9491538545,329
84739,193475,207068,8.1200434931,-4.354937132,2.9599215562,330
84873,193495,207093,8.0350982908,-4.2532421715,2.9383861528,331
85003,193571,207119,8.01595571,-4.4171505196,3.0221349438,332
85082,193635,207128,8.049455226400001,-4.4075792292,3.0317062341999996,333
85134,193641,207101,8.0542408716,-4.4004007614,3.0269205889999995,334
85213,193679,207158,8.0817583315,-4.4219361648,2.9862426048,335
85286,193691,207172,8.1320076061,-4.4662033829,2.9958138952,336
85429,193725,207153,8.039883936,-4.3334017286,3.0556344602,337
85475,193784,207214,8.1068829688,-4.5152562462,3.0101708308,338
85684,193869,207179,8.1535430095,-4.3501514868,2.9886354273999998,339
85852,193975,207325,8.2037922841,-4.3154555591,3.0532416376,340
86006,194034,207339,8.0374911134,-4.4195433422,3.0209385325,341
86154,194105,207326,8.1224363157,-4.4889351976,3.0221349438,342
86373,194173,207385,8.0015987744,-4.390829471,2.9575287336000002,343
86419,194257,207493,8.0590265168,-4.4889351976,3.0795626862,344
86233,194266,207451,8.0255270004,-4.331008906,2.8881368781999996,345
85673,194017,207350,8.0925260332,-4.4961136654,2.9838497821999996,346
85112,193719,207189,8.129614783500001,-4.3692940676,3.0556344602,347
84732,193512,207101,8.1128650253,-4.4123648744,3.0939196218,348
84512,193385,207001,7.9716884919,-4.3621155998,3.0412775246,349
84407,193352,206995,8.0015987744,-4.4243289874,3.0496524037,350
84508,193356,206979,8.1499537756,-4.4793639072,2.9742784918,351
84536,193391,206965,8.0303126456,-4.3369909625,2.9120651042,352
84604,193408,207025,8.1080793801,-4.527220359199999,2.9982067177999996,353
84628,193439,207058,8.1104722027,-4.3405801963999995,3.0460631697999996,354
84659,193412,207039,8.0590265168,-4.438685923,2.9730820805000002,355
84726,193521,207052,8.074579863699999,-4.3369909625,3.0125636533999995,356
84797,193524,207063,8.1009009123,-4.4482572134,3.0340990568,357
84892,193627,207109,8.1655071225,-4.4482572134,2.9862426048,358
85036,193692,207128,8.2241312762,-4.3274196721000004,3.0041887742999998,359
85188,193733,207199,8.1415788965,-4.4410787456,3.0269205889999995,360
85347,193791,207198,8.0805619202,-4.4135612857,3.0221349438,361
85490,193901,207260,7.9489566772,-4.4315074552,3.0460631697999996,362
85652,193954,207316,8.1750784129,-4.3896330597,3.038884702,363
85747,194012,207336,8.0973116784,-4.4279182213,3.0687949845,364
85366,193967,207318,8.075776275,-4.498506487999999,2.9623143788,365
84634,193680,207177,7.980063371,-4.3489550755,2.9874390161,366
